username,date,comment,likes,scraped_at,source
gau gau,15 saat önce,"sıra,çinde",0,2026-01-04 13:46:05,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,ossmon cicioğlu,0,2026-01-04 13:46:05,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,esard urussyado maduroğlan döde gelldı mg,0,2026-01-04 13:46:05,USD/TRY
gau gau,15 saat önce,"dwnyanınnüçç tesçilli turonnnristtt ülkesi,azrael,ruzzzya,abd",0,2026-01-04 13:46:05,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,maduroğlan dangalangdır mg,0,2026-01-04 13:46:05,USD/TRY
gau gau,15 saat önce,"dostummodora ne oldulann?tayyarrr,sus pusss?",0,2026-01-04 13:46:05,USD/TRY
gau gau,15 saat önce,"ıblızınçaldığı dolarlarbatmış,vezenuazzda",0,2026-01-04 13:46:05,USD/TRY
yörük ýörük,16 saat önce,Bu hayattaaa düşeninn dostu olmaz düşünde bir bakın,0,2026-01-04 13:46:05,USD/TRY
mehettin pilavcık,16 saat önce,👂👃 el ve ayaktan sonra emoji sanat derneğinde kulak üretimi başlamıştır,0,2026-01-04 13:46:05,USD/TRY
Ex investing,16 saat önce,Ülkemiz Aciklama Yaptı Lafa Söyle Başladı Dostum Trump 🤣,0,2026-01-04 13:46:05,USD/TRY
Ex investing,16 saat önce,Venezuela ya destek kol gibi bim salamlari geldi hanimmm,0,2026-01-04 13:46:05,USD/TRY
Cingöz Recai,16 saat önce,Çhommarlar hadi bakiim hep beraber ka h r olsun annarigaaa :),0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,16 saat önce,yarın. bi. la. li. ve. altındaki. gerçekleri. ve yapılmak. istenenleri. derinlemesine. işleyeceğim. comerler. hariç iyi akşamlar 🤗,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,16 saat önce,bu bir ma. şa. 25. yıllık. görevli. tıpkı Ma. du. ro. gibi,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,16 saat önce,büyük. İ. H. A. N. ET. AP açık ortada,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,16 saat önce,sonra aynı tarzda 2002 öncesinden birşey açıp bakıyorsun aradaki fark. zaten herşeyi anlatıyor,0,2026-01-04 13:46:05,USD/TRY
